category,table,rowKey,column,value,reason
"missing-user","AbpRoleClaims","6081a2e2-99d1-45f5-a5aa-fbd253cb4c4b","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6257635c-d1ba-4313-9954-f96fb778516d","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","627260c4-d3c2-4e91-bd74-3c94678587d4","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","68b77506-5bb3-44b2-9c85-ec3c2986b7ed","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6a3450a3-207d-4062-9d2d-0b6f4915fd3c","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6a5b0c79-8cb5-4344-a41c-e555c89e7b22","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6ae481b1-f657-4ac7-89af-a36aeac103eb","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6b86e605-9faa-4c43-ab0e-105409cbf23a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6d821b58-ef93-4359-a03d-7c50c040949a","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6db70ed7-b025-4deb-8ae0-93f5ed3385c0","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6ec48eaf-4354-42b4-a389-ccf330f19693","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6f146c14-d327-4b10-9406-5facb558d290","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","6f92d403-5c81-4017-971e-61bbdcfa22f1","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","701266a9-069d-4ab7-ba1e-7bc166c9b01c","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","70eb9b67-9b6e-4384-8fa4-33686bd3a936","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","71baad53-1680-4f5f-9742-ec5fb3a31281","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","72325c6b-25e8-45f1-b621-95329a00a8ab","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","72a0449b-f43a-465f-bbd1-406bb1f5f727","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","730bd7e9-f528-4de2-8d0c-7046c90544a1","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","734f4475-6925-4dd9-a404-e8f9e4f885ad","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","735a3661-fb6a-43f8-a646-daba8e11c70f","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","73c0c32c-59b0-4b72-8e17-08bfa83aeb37","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","74801153-81d6-48fe-b896-4a45594624fa","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","75eae9f0-d0e8-4817-83a2-69a7155f4fa5","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","75fed109-b306-4588-86bc-e10a657759f5","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","763faa4b-22e8-45fc-b10a-90faccd66ecc","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","77b97ea5-44db-4895-b037-b597b20fcf52","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","79062542-472e-4240-90b7-8628a3335cef","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","7961365f-4151-4e4c-9c55-f12d280f5d02","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","7af905b1-9b9d-4202-9db2-139a642fd597","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","7b713c7e-9778-40f7-a6b9-eb701516f4d2","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","80d06a5c-be97-4443-982f-dab13d06ea02","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","81409e8d-04b4-4aec-8816-92328936f129","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","822c1279-5e00-465a-8210-91fdfc4196c0","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","8261cd7c-c189-4954-836a-78459f472616","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","8281ed19-0951-4c1f-99bc-a4837890dc66","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","83d32e4a-c29d-4557-b9df-eec9f7c6c60e","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
"missing-user","AbpRoleClaims","860e3737-487b-4167-b032-a0e13193fd86","RoleId","3a1e8563-a05e-3865-32a0-d4aec7dca80e","Legacy user reference could not be mapped"
